192.168.10.8,Sat Dec 17 09:47:51 2022,1671263271716252162,Connecting message and IPs sent to nodes 1 and 2
192.168.10.8,Sat Dec 17 09:47:51 2022,1671263271717287333,game_id when checking connection 7
192.168.10.4,Sat Dec 17 09:47:51 2022,1671263271717401539,"Message from 192.168.10.8: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'connecting', 'game_id': 7}"
192.168.10.6,Sat Dec 17 09:47:51 2022,1671263271726850496,"Message from 192.168.10.8: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'connecting', 'game_id': 7}"
192.168.10.4,Sat Dec 17 09:47:51 2022,1671263271731808421,
192.168.10.4,Sat Dec 17 09:47:51 2022,1671263271732892888,inbound_node_connected: 4eb8193040f7f37ad53c007a0473236a1e74d8576f9e1e667d50820718243b0ee67717d555d00f93d22fd76180fdca63eb5f293881415d90f78196d9994a540f
192.168.10.6,Sat Dec 17 09:47:51 2022,1671263271733475982,
192.168.10.6,Sat Dec 17 09:47:51 2022,1671263271734532153,outbound_node_connected: c350cb1abb099c57045d9ac5a495b113447ce0d777f0c5248576e1211068cd20ae94058da2d1d1dd5f858816a64dcd2da932fe1f7ba22d9cd043030c9ba8c362
192.168.10.8,Sat Dec 17 09:47:51 2022,1671263271739461080,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 7}"
192.168.10.4,Sat Dec 17 09:47:51 2022,1671263271739481390,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 7}"
192.168.10.8,Sat Dec 17 09:47:51 2022,1671263271740881684,Informing server about the succesful connection with 2 peers
192.168.10.4,Sat Dec 17 09:47:51 2022,1671263271740542316,Informing server about the succesful connection with 2 peers
192.168.10.6,Sat Dec 17 09:47:51 2022,1671263271755081879,"Message from 192.168.10.4: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 7}"
192.168.10.6,Sat Dec 17 09:47:51 2022,1671263271756551887,Informing server about the succesful connection with 2 peers
192.168.10.8,Sat Dec 17 09:47:51 2022,1671263271760836495,"Message from 192.168.10.4: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 7}"
192.168.10.6,Sat Dec 17 09:48:21 2022,1671263301795768063,"Message from 192.168.10.8: {'status': 'disconnect', 'state': 1}"
192.168.10.6,Sat Dec 17 09:49:11 2022,1671263351991795494,game_id when waiting 8
192.168.10.4,Sat Dec 17 09:49:14 2022,1671263354119096210,game_id when waiting 8
192.168.10.4,Sat Dec 17 09:49:15 2022,1671263355135011672,connecting started
192.168.10.4,Sat Dec 17 09:49:15 2022,1671263355138148277,game_id when checking connection 8
192.168.10.6,Sat Dec 17 09:49:16 2022,1671263356025484936,connecting started
192.168.10.6,Sat Dec 17 09:49:16 2022,1671263356027402601,game_id when checking connection 8
192.168.10.6,Sat Dec 17 09:49:16 2022,1671263356030350953,
192.168.10.8,Sat Dec 17 09:49:16 2022,1671263356032507423,
192.168.10.6,Sat Dec 17 09:49:16 2022,1671263356031364879,inbound_node_connected: aba006c0243dd8e78407d629f8e0e415f463b62cdd9ac4d91e5d1e1ae4248f058e24f335122e74b8b5d85a2ae0ecb88d5ea051254f3e2b6e0bcfdbe3a07d3c0a
192.168.10.8,Sat Dec 17 09:49:16 2022,1671263356033110115,outbound_node_connected: 106c12e49f34eb562aacbbbfc61b16040c78f7c2037ea7d82bc7c675d7986a3800c317db2dadd1ad3746448c5c072d1b962976e09c7057d7ff01c1782e384072
192.168.10.8,Sat Dec 17 09:49:16 2022,1671263356036169286,
192.168.10.4,Sat Dec 17 09:49:16 2022,1671263356035399736,
192.168.10.8,Sat Dec 17 09:49:16 2022,1671263356037049540,outbound_node_connected: b736b6021df83421cb64d57a7f26106f7f42936e98b759777776e5d517d622ed171d32b8bf0d0cf686322a68d1d461cceb89a958727298aa1cc13d5cbaa62bcd
192.168.10.4,Sat Dec 17 09:49:16 2022,1671263356036484605,inbound_node_connected: aba006c0243dd8e78407d629f8e0e415f463b62cdd9ac4d91e5d1e1ae4248f058e24f335122e74b8b5d85a2ae0ecb88d5ea051254f3e2b6e0bcfdbe3a07d3c0a
192.168.10.8,Sat Dec 17 09:49:18 2022,1671263358041822569,Connecting message and IPs sent to nodes 1 and 2
192.168.10.8,Sat Dec 17 09:49:18 2022,1671263358043740189,game_id when checking connection 8
192.168.10.6,Sat Dec 17 09:49:18 2022,1671263358043932279,"Message from 192.168.10.8: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'connecting', 'game_id': 8}"
192.168.10.8,Sat Dec 17 09:49:18 2022,1671263358054156862,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 8}"
192.168.10.8,Sat Dec 17 09:49:18 2022,1671263358056915169,Informing server about the succesful connection with 2 peers
192.168.10.8,Sat Dec 17 09:49:25 2022,1671263365064485310,Failed to connect with peers.
192.168.10.8,Sat Dec 17 09:49:25 2022,1671263365066302926,"Disconnecting with nodes [<NodeConnection: Node 192.168.10.8:10001 <-> Connection 192.168.10.6:10001>, <NodeConnection: Node 192.168.10.8:10001 <-> Connection 192.168.10.4:10001>]"
192.168.10.8,Sat Dec 17 09:49:25 2022,1671263365069520391,
192.168.10.8,Sat Dec 17 09:49:25 2022,1671263365071007961,outbound_node_disconnected: b736b6021df83421cb64d57a7f26106f7f42936e98b759777776e5d517d622ed171d32b8bf0d0cf686322a68d1d461cceb89a958727298aa1cc13d5cbaa62bcd
192.168.10.6,Sat Dec 17 09:49:26 2022,1671263366029664688,Failed to connect with peers.
192.168.10.6,Sat Dec 17 09:49:26 2022,1671263366031600366,Disconnecting with nodes [<NodeConnection: Node 192.168.10.6:10001 <-> Connection 192.168.10.8:10001>]
192.168.10.6,Sat Dec 17 09:49:28 2022,1671263368086673766,
192.168.10.6,Sat Dec 17 09:49:28 2022,1671263368089940780,inbound_node_disconnected: aba006c0243dd8e78407d629f8e0e415f463b62cdd9ac4d91e5d1e1ae4248f058e24f335122e74b8b5d85a2ae0ecb88d5ea051254f3e2b6e0bcfdbe3a07d3c0a
192.168.10.8,Sat Dec 17 09:49:28 2022,1671263368098974960,
192.168.10.8,Sat Dec 17 09:49:28 2022,1671263368100565783,outbound_node_disconnected: 106c12e49f34eb562aacbbbfc61b16040c78f7c2037ea7d82bc7c675d7986a3800c317db2dadd1ad3746448c5c072d1b962976e09c7057d7ff01c1782e384072
